name,email,website
Bob Rehill & Associates,admin@bobrehill.com,https://www.bobrehill.com
Future Skill,zebastian@futureskill.com,http://www.futureskill.com
Recruitment Genius,hello@recruitmentgenius.com,https://www.recruitmentgenius.com
LitE Consulting,sales@liteconsulting.co.uk,https://www.liteconsulting.co.uk
Catapult – Your flexible workforce,contactus@joincatapult.com,https://www.joincatapult.com
Joyful Living,info@joyful-living.co,https://joyful-living.co/
Webonboarding,contact.us@webonboarding.com,https://www.webonboarding.com/
Cornerstone,info_UK@csod.com,https://www.cornerstoneondemand.co.uk
Natural HR,info@naturalhr.com,https://www.naturalhr.com/
Thrive Consulting,info@thriveconsulting.co.uk,https://www.thriveconsulting.co.uk
Head Light Ltd,info.request@head-light.co.uk,https://head-light.co.uk/
JEANS FOR GENES,hello@jeansforgenes.org,https://www.jeansforgenesday.org/
PointSolutions,info@pointsolutionsuk.com,https://pointsolutionsuk.com
The Method,info@the-method.com,https://www.the-method.com
Moorepay,info@moorepay.co.uk,https://www.moorepay.co.uk/
TMS Development International Ltd,info@tmsdi.com,https://www.tmsdi.com
SYNEL UK,eirini.spanou@syneluk.com,https://www.synel.co.uk
advo,cboxall@advogroup.co.uk,https://www.advogroup.co.uk
Selenity ER Tracker,hello@selenity.com,https://www.selenity.com
WeWork,,https://www.wework.com?utm_campaign=1001042&utm_medium=field_activation
Workday,sales.emea@workday.com,https://www.workday.com/uk
Lumina Learning,info@luminalearning.com,https://luminalearning.com
Eli Onboarding,tim@cathree.com,https://www.elionboarding.com
TribePad,team@tribepad.com,https://www.tribepad.com
WONDERFUL WORKPLACES,karishma.dhawan@haymarket.com,https://www.wonderfulworkplaces.co.uk/
Your Career Academy,brett@yourcareeracademy.com,https://www.yourcareeracademy.com
People Management Jobs,danny.haynes@haymarket.com,https://peoplemanagement.haymarketrecruitment.com/
Sherrards Employment Law Solicitors,sarah@sherrardslaw.com,https://www.sherrardslaw.com
EBSCO,smoss@ebsco.com,https://www.ebsco.com
The School of Life for Business,business@theschooloflife.com,https://www.theschooloflife.com/london/the-school-of-life-for-business/
The Five Behaviors of a Cohesive Team®,info@fivebehaviors.co.uk,http://www.fivebehaviors.co.uk/
i-act for positive mental health and wellbeing,info@i-act.co.uk,https://www.i-act.co.uk
The London School Group,faeza.afzal@londonschool.com,https://www.londonschool.com/group/
citrusHR,sales@citrushr.com,https://www.citrushr.com/hr-software
Datagraphic,enquiries@datagraphic.co.uk,https://www.datagraphic.co.uk/
ThriveMap,nathan@thrivemap.io,https://www.thrivemap.io
Two Bald Blokes Ltd,amanda@twobaldblokes.com,https://www.twobaldblokes.com
Spectrum.Life,grainneoreilly@spectrum.life,https://www.spectrum.life
Mabnet,jol.oreilly@mabway.com,https://www.mabnet.com/
SD Worx,natalie.mcdonnell@sdworx.com,https://www.sdworx.co.uk
Cascade HR,info@cascadehr.co.uk,https://www.cascadehr.co.uk
Leap into Consulting™,sarahhg@leapintoconsulting.com,http://www.leapintoconsulting.com/
Kronos,ukinfo@kronos.com,https://www.kronos.co.uk
SCC Pyramid,sccpyramid@scc.com,https://www.sccpyramid.com
Questionmark Computing LTD,news@questionmark.com,https://www.questionmark.com
The Access Group,HCMevents@theaccessgroup.com,https://www.theaccessgroup.com/hr/
ASSESSFIRST,lpoirier@assessfirst.com,https://www.assessfirst.com/en?utm_medium=social&utm_source=site%20internet%20cipd%20show&utm_campaign=cipd%20-%20fow&utm_content=link%20to%20company'sprofile&utm_term=assessfirst
XCD,info@peoplexcd.com,https://peoplexcd.com
Charity Learning Consortium,info@charitylearning.org,https://charitylearning.org/
Roffey Park Institute,sales@liteconsulting.co.uk,https://www.roffeypark.com
Elite Business,ellie.savva@cemedia.co.uk,http://elitebusinessmagazine.co.uk/
The OCM group Ltd,ed.parsloe@theocm.co.uk,https://www.theocm.co.uk/
Actus,info@actus.co.uk,https://actus.co.uk/
Results Driven Group,info@resultsdrivengroup.co.uk,https://www.resultsdrivengroup.co.uk
Forton Leadership Coaching & my360+,info@thefortongroup.com,https://www.thefortongroup.com
Foundation SP,sales@foundation-sp.com,https://www.foundation-sp.com/
WorkForce Software,ncullen@workforcesoftware.com,https://www.workforcesoftware.com/uk
Orchestral Teams,david@orchestralteams.com,https://www.orchestralteams.com
Fourth Talent,kerryn@4thtalent.com,https://www.4thtalent.com
Insights Learning and Development,marketing@insights.com,https://www.insights.com
Fresh Air Fridays,info@freshairfridays.co.uk,https://www.freshairfridays.co.uk/
CoreHR,aoife.fitzpatrick@corehr.com ,https://www.corehr.com
People First,people@people-first.com,https://people-first.com/
CIPD,cipd@cipd.co.uk,https://www.cipd.co.uk
Sheffield Hallam University,apprenticeships@shu.ac.uk,www.shu.ac.uk/business
OneSource Virtual,jgillespie2@onesourcevirtual.com,https://www.onesourcevirtual.com
Experian,businessuk@experian.com,https://www.experian.co.uk/background-checking/pre-employment-screening.html
People Force International,info@peopleforceint.com,https://www.peopleforceint.com/
,,
HFX Limited,elvira.streames@hfx.co.uk ,https://www.hfx.co.uk/
Nestle Purina – Pets at Work,pawallianceuk@purina.nestle.com,https://www.purina.co.uk
Revelation Training Ltd,jaynehowson@revelationtraining.co.uk,https://www.revelationtraining.co.uk
Pinnacle Performance Company,fhutchings@pinper.com,http://pinper.com/cms/us/index
The Centre,info@the-centre.co.uk,https://www.the-centre.co.uk
e-days Absence Management,enquiries@e-days.co.uk,https://www.e-days.co.uk/
Symbiotics Ltd,contact@symbioticsltd.co.uk,https://www.symbioticsltd.co.uk
"Jobvite, Inc.",emea@jobvite-inc.com,https://www.jobvite.com/
Highfield Assessment,info@highfieldassessment.com,https://www.highfieldassessment.com/
Interaction Learning and Development,info@interaction-ld.com,https://www.interaction-ld.com/
City & Guilds,customer_events@cityandguilds.com,https://www.cityandguilds.com/
Acceler8 Training,ignite@acceler8training.co.uk,https://www.acceler8training.co.uk
Oleeo,hello.uk@oleeo.com,https://www.oleeo.com
The Open University,meet-the-ou@open.ac.uk,http://www.open.ac.uk/business/
Top Employers Institute,uk@top-employers.com,https://www.top-employers.com 
The Chartered Institute of Payroll Professionals,info@cipp.org.uk,https://www.cipp.org.uk/
CENTRAL TEST,communication@centraltest.com,https://www.centraltest.com/
Glassdoor for Employers,dania.riad@glassdoor.com,https://www.glassdoor.co.uk/employers
Intraining in association with Rathbone Training,marketing@intraining.co.uk,http://www.intraining.co.uk/
The Business Coaching Academy,enquiry@thebcacademy.com,https://www.thebcacademy.com
PSI Talent Measurement,contact@psionline.com,https://www.psionline.com/en-gb/
World of Insights,hello@worldofinsights.co,https://www.worldofinsights.co/
Northgate Training Activities,customer.support@northgatetraining.co.uk,http://northgatetraining.co.uk/
Abracademy,anne@abracademy.com,https://abracademy.com/
Optimus Learning Services,info@optimuslearningservices.com,https://www.optimuslearningservices.com/
Panopto,uk@panopto.com,https://www.panopto.com/
Peakon,mail@peakon.com,https://peakon.com/
360 Resourcing Solutions,Tom.Evans@360resourcing.co.uk,https://www.360resourcing.co.uk/home/
,,
ShopWorks,lee@theshopworks.com,https://www.theshopworks.com
Secure Screening Services,hello@securescreeningservices.com,https://www.securescreeningservices.com
Mind Tools,corporate@mindtools.com,https://www.mindtools.com/corporate
Hornbill,marketing@hornbill.com,https://www.hornbill.com/
Qube Learning,elliot.roberts@qube-learning.co.uk,http://www.qube-learning.co.uk/
CV-Library,recruit@cv-library.co.uk,https://www.cv-library.co.uk
Training Activities & EPIC Engagement,carl@trainingactivities.co.uk,www.trainingactivities.co.uk & www.epicengagement.co.uk
Nimble Elearning,info@nimble-elearning.com,https://nimble-elearning.com/
AKD Solutions,info@akdsolutions.com,https://www.akdsolutions.com
Amris ATS / myPixid,sales@pixid.co.uk,www.pixid.co.uk / www.amris.com
The Institute of Leadership & Management,Jane.Nicholson-Biss@instituteLM.com,https://www.institutelm.com
Perkbox,madlena@perkbox.co.uk,https://www.perkbox.com
Everything DiSC®,info@everythingdisc.co.uk,http://www.everythingdisc.co.uk
Capita Workforce Management,Sales@Capitawfm.co.uk,http://www.capitaworkforcemanagement.co.uk/
3C Performance Management,info@3cperform.co.uk,https://www.3cperform.co.uk/
ICS Learn,cipd.enquiry@icslearn.co.uk,https://www.icslearn.co.uk/
Avanade,stanley.louw@avanade.com,https://www.avanade.com
TheWholeStory,info@thewholestory.org.uk,www.thewholestory.org.uk
Engage in Learning,sales@engageinlearning.com,http://www.engageinlearning.com
Spill,craig@spill.chat>craig@spill.chat</a></div><div class=,
Academy Ambassadors,academyambassadors@newschoolsnetwork.org,https://www.academyambassadors.org
Impact,info@impactinternational.com,https://www.impactinternational.com/
Imago venues,marketing@welcometoimago.com,https://www.welcometoimago.com/
iManage Performance Ltd,sally.bannister@imanageperformance.com,http://www.imanageperformance.com
Mindful Education,marketing@mindful-education.co.uk,https://www.mindful-education.co.uk
Tech Talent Solutions,info@techtalentsolutions.com,https://www.techtalentsolutions.com/
CAKE People Development,shelleym@cakepd.co.uk,https://www.cakepd.co.uk
EasyWeb Group,info@easywebgroup.co.uk,https://www.easywebgroup.co.uk
Caboodle,enquiries@caboodle-technology.co.uk,https://caboodle-technology.co.uk/homepage-festivalofwork/
Henley Business School,exec@henley.ac.uk,https://www.henley.ac.uk/executive-education
Hogrefe Ltd,marketing@hogrefe.co.uk,https://www.hogrefe.co.uk/
Blue Sky – Experts in People Change,hello@blue-sky.co.uk,https://blue-sky.co.uk/
Pure Blue Ocean,duncan@pureblueocean.com,https://www.pureblueocean.com
Emergenetics,info@emergenetics.co.uk,http://www.emergenetics.co.uk
delaware,info@delaware.co.uk,https://www.delaware.co.uk
HireRight,emeasales@hireright.com,https://www.hireright.com/emea/
NCFE,events@ncfe.org.uk,https://www.ncfe.org.uk/accreditation-and-employer-services
Trickle,marcella@trickle.works,https://www.trickle.works
NLP School,info@nlpschool.com,https://www.nlpschool.com
Kineo,andy.costello@kineo.com,https://www.kineo.com/ 
Emerge Development Consultancy,info@emergeuk.com,https://www.emergeuk.com
engage|ats (part of Havas People),sales@engageats.co.uk,http://www.engage-ats.com
Core Strengths,admin@corestrengths.com,https://corestrengths.uk
Guidebook,sales.uk@guidebook.com,https://www.guidebook.com
GP Strategies Ltd.,emea-enquiries@gpstrategies.com,https://www.gpstrategiesltd.com/
Pilat HR,info@pilat.com,https://www.pilat.com
GoodPractice,beinspired@goodpractice.com,https://www.goodpractice.com
HR-inform,enquiries@hr-inform.co.uk,https://www.hr-inform.co.uk/
Thinqi,info@cdsm.co.uk,https://www.thinqi.co.uk
Frontier Software,sales@frontiersoftware.com,https://www.frontiersoftware.com
LogicMelon,mailtocorp@logicmelon.com,https://logicmelon.com/
PurpleMedia,hello@purplemedia.co.uk,https://www.purplemedia.co.uk
HowNow,jon@gethownow.com>jon@gethownow.com</a></div><div class=,
SAP SuccessFactors / TalenTeam,sboethe@talenteam.com,https://talenteam.com/
CIPHR,info@ciphr.com,https://www.ciphr.com
Vacancy Filler Recruitment Solutions,marketing@vacancyfiller.co.uk,https://www.vacancyfiller.com
Thinking Focus,ricky.muddimer@thinkingfocus.com,https://www.thinkingfocus.com
Enboarder,info@enboarder.com>info@enboarder.com</a></div><div class=,
MHR,events@mhr.co.uk,http://www.mhr.co.uk
Resilient People,estelle@resilientpeople.co.uk,http://www.resilientpeople.co.uk
The British Psychological Society,enquiry@psychtesting.org.uk,https://ptc.bps.org.uk/
Zellis,mark.e.jones@zellis.com,https://www.zellis.com
Webrecruit,hello@webrecruit.co.uk,https://www.webrecruit.co.uk
ILM,events@i-l-m.com,https://www.i-l-m.com
PeopleDoc,Joe.Slater@people-doc.com,https://www.people-doc.co.uk
Coventry University Apprenticeships,apprenticeships@coventry.ac.uk,http://www.coventry.ac.uk/apprenticeships
The People Experience Hub,hello@px-hub.com,https://pxhub.io
Kogan Page,lcronin@koganpage.com,https://www.koganpage.com
Appraisd,info@appriasd.com,https://www.appraisd.com
SilkRoad,Colin.larter@silkroad.com>Colin.larter@silkroad.com</a></div><div class=,
Open Blend,hello@openblendmethod.co.uk,https://www.openblend.com
Onclick,info@onclick.co.uk,https://www.onclick.co.uk/
The Myers-Briggs Company,support.eu@themyersbriggs.com,https://eu.themyersbriggs.com/en
Able Futures,admin@able-futures.co.uk,https://www.able-futures.co.uk
Ashorne Hill,learning@ashornehill.co.uk,https://www.ashornehill.co.uk/learning-solutions/
Clear Review,hello@clearreview.com,https://www.clearreview.com
